eid,nid_s,nid_e,length,lanes,maxmph,type,edge_osmid,start_osm,end_osm,geometry
0,24,96,51.23662689904994,1,25,residential,12170390,110348357,110387946,"LINESTRING (-122.7088369 37.9005658,-122.7089076 37.9006585,-122.7089322 37.90069,-122.709149 37.9009552)"
1,96,24,51.23662689904994,1,25,residential,12170390,110387946,110348357,"LINESTRING (-122.709149 37.9009552,-122.7089322 37.90069,-122.7089076 37.9006585,-122.7088369 37.9005658)"
2,61,49,68.77375091946104,1,25,residential,12170827,110350999,279230067,"LINESTRING (-122.6868786 37.9079217,-122.6872289 37.9079568,-122.6874254 37.9080509,-122.6875361 37.9081832)"
3,49,61,68.77375091946104,1,25,residential,12170827,279230067,110350999,"LINESTRING (-122.6875361 37.9081832,-122.6874254 37.9080509,-122.6872289 37.9079568,-122.6868786 37.9079217)"
4,49,68,62.59212306067182,1,25,residential,12170827,279230067,110351008,"LINESTRING (-122.6875361 37.9081832,-122.687573 37.908212,-122.687695 37.908725)"
5,68,49,62.59212306067182,1,25,residential,12170827,110351008,279230067,"LINESTRING (-122.687695 37.908725,-122.687573 37.908212,-122.6875361 37.9081832)"
6,62,13,146.93717199400717,1,25,residential,12171742,110358680,3401274918,"LINESTRING (-122.7037716 37.9075842,-122.7038989 37.9075125,-122.7040795 37.9073131,-122.7040935 37.9071375,-122.7041691 37.9068976,-122.7042956 37.9067194,-122.7046289 37.9065275)"
7,13,62,146.93717199400717,1,25,residential,12171742,3401274918,110358680,"LINESTRING (-122.7046289 37.9065275,-122.7042956 37.9067194,-122.7041691 37.9068976,-122.7040935 37.9071375,-122.7040795 37.9073131,-122.7038989 37.9075125,-122.7037716 37.9075842)"
8,109,188,11.181294898035862,1,25,residential,12172378,110365447,110365449,"LINESTRING (-122.7085734 37.8981973,-122.7085122 37.8981091)"
9,188,109,11.181294898035862,1,25,residential,12172378,110365449,110365447,"LINESTRING (-122.7085122 37.8981091,-122.7085734 37.8981973)"
10,245,248,180.49520096259806,1,25,unclassified,12172644,110367725,110367728,"LINESTRING (-122.697367 37.9346398,-122.697465 37.9346211,-122.6992324 37.9342871,-122.6993673 37.9342581)"
11,248,245,180.49520096259806,1,25,unclassified,12172644,110367728,110367725,"LINESTRING (-122.6993673 37.9342581,-122.6992324 37.9342871,-122.697465 37.9346211,-122.697367 37.9346398)"
