node_id_igraph,node_osmid,lon,lat,signal
"7","110421520",-122.6869976,37.9063978,
"11","110421540",-122.6878975,37.9043976,
"16","110366250",-122.685282,37.9051766,
"17","110421553",-122.6900307,37.9044101,
"18","110421555",-122.6910444,37.9037656,
"20","110382886",-122.690445,37.9121424,
"21","110421563",-122.6935424,37.9025633,
"23","110402623",-122.6860421,37.905133,
"49","279230067",-122.6875361,37.9081832,
"61","110350999",-122.6868786,37.9079217,
"63","110413465",-122.6822348,37.9085775,
"67","110394015",-122.6845696,37.9061205,
"68","110351008",-122.687695,37.908725,
"69","312078495",-122.6896813,37.9038772,
"70","2481944221",-122.6833983,37.9092209,
"93","110386918",-122.6834057,37.9087947,
"98","110386925",-122.6845462,37.9056819,
"103","110429434",-122.6882222,37.9060825,
"110","110414599",-122.6878738,37.9050967,
"112","110382855",-122.7040649,37.9081492,
"117","110382863",-122.700996,37.909125,
"122","110382867",-122.7001386,37.9093797,
"126","110414616",-122.6922604,37.9042918,
"134","110443298",-122.6869458,37.9084985,
"135","110443299",-122.6868737,37.9077765,
"137","110443301",-122.6864362,37.9070475,
"140","110443304",-122.6859852,37.9057363,
"148","1900719912",-122.6860336,37.9049573,turning_circle
"156","110445895",-122.6887668,37.9042976,
"202","110393241",-122.6865835,37.9094266,
"207","376840614",-122.703347,37.90838,
"212","110410670",-122.6939738,37.9024375,
"219","110382860",-122.7017707,37.9088758,
"230","110381017",-122.6933953,37.9025985,
"232","110381021",-122.6930355,37.9032438,
"238","110451170",-122.6835801,37.9071948,
